# z	a	b	c	err_a	err_b	err_c
43.619	-7.4089e-02	2.4125e-01	9.0414e-01	2.9643e-02	5.9512e-02	2.9847e-02
38.919	-7.6217e-02	2.7536e-01	8.9374e-01	3.1143e-02	6.2622e-02	3.1450e-02
31.137	-5.1860e-02	3.3467e-01	8.7538e-01	3.8475e-02	7.7716e-02	3.9192e-02
30.000	-3.4892e-02	3.3247e-01	8.7634e-01	4.1123e-02	8.3149e-02	4.1970e-02
27.900	2.0648e-02	3.0795e-01	8.8297e-01	4.9090e-02	9.9480e-02	5.0316e-02
26.124	1.1280e-01	2.4449e-01	8.9987e-01	6.0141e-02	1.2216e-01	6.1917e-02
24.597	1.9830e-01	2.3938e-01	8.7671e-01	7.4834e-02	1.5237e-01	7.7405e-02
23.268	3.2148e-01	2.0998e-01	8.5414e-01	9.1607e-02	1.8699e-01	9.5213e-02
22.100	3.9862e-01	3.1847e-01	7.5736e-01	1.0940e-01	2.2388e-01	1.1427e-01
21.062	4.4197e-01	5.5361e-01	5.8904e-01	1.2755e-01	2.6170e-01	1.3389e-01
20.134	4.1486e-01	9.5729e-01	3.4293e-01	1.4774e-01	3.0388e-01	1.5583e-01
19.298	3.9571e-01	1.3958e+00	7.8496e-02	1.7790e-01	3.6684e-01	1.8854e-01
18.540	2.3908e-01	2.0635e+00	-2.6381e-01	1.7717e-01	3.6619e-01	1.8862e-01
17.848	-3.6082e-02	3.0489e+00	-7.7072e-01	2.0494e-01	4.2455e-01	2.1913e-01
17.215	-3.1875e-01	4.0154e+00	-1.2404e+00	2.0986e-01	4.3567e-01	2.2530e-01
16.633	-4.5896e-01	4.7509e+00	-1.5993e+00	2.2284e-01	4.6353e-01	2.4013e-01
16.095	-9.2923e-01	6.0221e+00	-2.1564e+00	2.3455e-01	4.8875e-01	2.5359e-01
15.596	-6.6651e-01	5.9497e+00	-2.1006e+00	2.6209e-01	5.4709e-01	2.8430e-01
15.132	-1.2015e+00	7.4421e+00	-2.7672e+00	2.8485e-01	5.9557e-01	3.0993e-01
14.699	-1.4160e+00	8.3635e+00	-3.1550e+00	3.0993e-01	6.4904e-01	3.3821e-01
14.294	-1.8571e+00	9.4914e+00	-3.5602e+00	3.1561e-01	6.6177e-01	3.4521e-01
13.914	-1.0182e+00	8.4508e+00	-3.0636e+00	5.0381e-01	1.0579e+00	5.5252e-01
13.557	-2.4304e+00	1.1541e+01	-4.3613e+00	3.6356e-01	7.6424e-01	3.9950e-01
13.221	-1.9904e+00	1.1234e+01	-4.1313e+00	4.1645e-01	8.7667e-01	4.5882e-01
12.903	-2.6795e+00	1.3109e+01	-4.9579e+00	4.5640e-01	9.6171e-01	5.0370e-01
12.603	-2.1671e+00	1.2523e+01	-4.5798e+00	4.8541e-01	1.0243e+00	5.3718e-01
12.318	-9.4032e-01	1.0295e+01	-3.3165e+00	4.9075e-01	1.0371e+00	5.4454e-01
12.048	-1.3681e+00	1.1856e+01	-3.9616e+00	5.2065e-01	1.1019e+00	5.7932e-01
11.791	-2.3869e+00	1.4249e+01	-4.9616e+00	5.8177e-01	1.2321e+00	6.4804e-01
11.546	-1.0853e+00	1.2436e+01	-4.0638e+00	6.3600e-01	1.3491e+00	7.1068e-01
11.313	-1.6270e+00	1.3937e+01	-4.5930e+00	7.2009e-01	1.5293e+00	8.0638e-01
11.090	-1.0763e+00	1.3172e+01	-4.0730e+00	7.0117e-01	1.4908e+00	7.8681e-01
10.877	-1.4943e+00	1.4037e+01	-4.2065e+00	6.9202e-01	1.4731e+00	7.7824e-01
10.673	-1.3060e+00	1.5393e+01	-5.0604e+00	8.4988e-01	1.8117e+00	9.5828e-01
10.478	-6.5191e-01	1.4730e+01	-4.7044e+00	1.0067e+00	2.1487e+00	1.1377e+00
10.290	2.6850e+00	9.2466e+00	-2.0808e+00	9.8565e-01	2.1088e+00	1.1191e+00
