,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
43.6190,[0.055 0.005 0.795 0.898 0.869],[0.059 0.004 0.898 0.93  0.915],[0.061 0.005 0.93  0.952 0.942],[0.062 0.005 0.952 0.97  0.961],[0.063 0.005 0.97  0.985 0.978],[0.064 0.005 0.985 0.999 0.992],[0.066 0.005 0.999 1.012 1.006],[0.067 0.005 1.012 1.028 1.02 ],[0.069 0.005 1.028 1.046 1.037],[0.07  0.005 1.046 1.069 1.057],[0.073 0.005 1.069 1.102 1.084],[0.077 0.006 1.102 1.289 1.143]
38.9190,[0.069 0.006 0.774 0.887 0.855],[0.075 0.005 0.887 0.922 0.906],[0.078 0.006 0.922 0.947 0.935],[0.08  0.006 0.947 0.966 0.957],[0.081 0.006 0.966 0.983 0.975],[0.083 0.006 0.983 0.999 0.991],[0.085 0.006 0.999 1.013 1.006],[0.086 0.006 1.013 1.031 1.022],[0.089 0.007 1.031 1.051 1.041],[0.091 0.007 1.051 1.077 1.064],[0.095 0.007 1.077 1.114 1.094],[0.101 0.008 1.114 1.33  1.161]
31.1370,[0.107 0.01  0.729 0.861 0.824],[0.119 0.009 0.861 0.902 0.883],[0.124 0.01  0.902 0.933 0.918],[0.129 0.01  0.933 0.957 0.945],[0.132 0.011 0.957 0.978 0.967],[0.135 0.01  0.978 0.997 0.987],[0.14  0.011 0.997 1.015 1.006],[0.142 0.011 1.015 1.038 1.026],[0.148 0.012 1.038 1.063 1.05 ],[0.154 0.013 1.063 1.096 1.079],[0.162 0.014 1.096 1.142 1.117],[0.178 0.017 1.142 1.431 1.203]
30.0000,[0.115 0.011 0.72  0.856 0.818],[0.128 0.01  0.856 0.899 0.879],[0.134 0.011 0.899 0.93  0.915],[0.139 0.011 0.93  0.955 0.943],[0.144 0.012 0.955 0.977 0.966],[0.147 0.012 0.977 0.997 0.987],[0.152 0.013 0.997 1.016 1.006],[0.156 0.012 1.016 1.039 1.027],[0.162 0.014 1.039 1.066 1.051],[0.169 0.015 1.066 1.1   1.081],[0.178 0.016 1.1   1.148 1.121],[0.198 0.021 1.148 1.451 1.211]
27.9000,[0.132 0.013 0.704 0.846 0.806],[0.149 0.013 0.846 0.891 0.87 ],[0.157 0.014 0.891 0.924 0.909],[0.164 0.014 0.924 0.951 0.938],[0.17  0.015 0.951 0.975 0.963],[0.174 0.014 0.975 0.996 0.985],[0.181 0.017 0.996 1.016 1.006],[0.186 0.017 1.016 1.041 1.029],[0.194 0.018 1.041 1.069 1.054],[0.204 0.02  1.069 1.107 1.087],[0.218 0.022 1.107 1.159 1.13 ],[0.247 0.031 1.159 1.492 1.228]
26.1240,[0.15  0.016 0.689 0.836 0.795],[0.172 0.016 0.836 0.884 0.862],[0.182 0.018 0.884 0.919 0.902],[0.191 0.017 0.919 0.948 0.934],[0.199 0.02  0.948 0.973 0.96 ],[0.205 0.018 0.973 0.995 0.984],[0.214 0.021 0.995 1.017 1.006],[0.221 0.022 1.017 1.043 1.03 ],[0.232 0.024 1.043 1.073 1.057],[0.246 0.027 1.073 1.113 1.092],[0.265 0.03  1.113 1.169 1.139],[0.308 0.044 1.169 1.534 1.245]
24.5970,[0.17  0.019 0.674 0.827 0.784],[0.198 0.02  0.827 0.877 0.854],[0.211 0.023 0.877 0.914 0.896],[0.223 0.023 0.914 0.944 0.929],[0.233 0.026 0.944 0.97  0.957],[0.242 0.025 0.97  0.994 0.982],[0.253 0.027 0.994 1.018 1.006],[0.264 0.029 1.018 1.045 1.031],[0.278 0.032 1.045 1.077 1.06 ],[0.298 0.038 1.077 1.119 1.098],[0.325 0.04  1.119 1.18  1.147],[0.385 0.059 1.18  1.575 1.261]
23.2680,[0.191 0.024 0.661 0.819 0.774],[0.226 0.025 0.819 0.87  0.847],[0.242 0.028 0.87  0.908 0.89 ],[0.259 0.03  0.908 0.941 0.925],[0.272 0.032 0.941 0.968 0.954],[0.285 0.032 0.968 0.993 0.981],[0.298 0.034 0.993 1.018 1.006],[0.315 0.038 1.018 1.047 1.033],[0.334 0.042 1.047 1.081 1.063],[0.359 0.047 1.081 1.126 1.103],[0.396 0.052 1.126 1.19  1.155],[0.475 0.076 1.19  1.615 1.276]
22.1000,[0.214 0.029 0.648 0.811 0.764],[0.259 0.033 0.811 0.864 0.839],[0.279 0.035 0.864 0.904 0.885],[0.302 0.037 0.904 0.937 0.921],[0.318 0.04  0.937 0.967 0.952],[0.335 0.043 0.967 0.993 0.98 ],[0.351 0.041 0.993 1.019 1.006],[0.375 0.048 1.019 1.049 1.034],[0.399 0.054 1.049 1.085 1.066],[0.432 0.058 1.085 1.132 1.108],[0.479 0.063 1.132 1.2   1.163],[0.576 0.09  1.2   1.655 1.291]
21.0620,[0.24  0.036 0.635 0.803 0.755],[0.295 0.04  0.803 0.858 0.832],[0.322 0.044 0.858 0.899 0.879],[0.35  0.046 0.899 0.934 0.917],[0.372 0.05  0.934 0.964 0.949],[0.392 0.053 0.964 0.992 0.978],[0.415 0.053 0.992 1.019 1.005],[0.442 0.056 1.019 1.051 1.035],[0.475 0.066 1.051 1.088 1.068],[0.515 0.069 1.088 1.138 1.112],[0.573 0.074 1.138 1.209 1.17 ],[0.69  0.102 1.209 1.694 1.306]
