,bin0,bin1,bin2,bin3,bin4,bin5
43.6190,"[0.06188824041014993, 0.0038129976631854816, 0.869133971145546, 0.955515524505542, 0.9217963475490397]","[0.06642159724549698, 0.003328014197518354, 0.955515524505542, 0.9835217783346389, 0.970950733182298]","[0.0678746514171889, 0.003028428127343391, 0.9835217783346389, 1.0027739170197907, 0.9943333091959559]","[0.06965471306029908, 0.0034755646536819913, 1.0027739170197907, 1.0208062540207266, 1.0117917518069233]","[0.07170386748538256, 0.003551193806050683, 1.0208062540207266, 1.045554965851222, 1.0323432681633262]","[0.07504292566575635, 0.004331629151920395, 1.045554965851222, 1.2251305016932463, 1.0756129451164296]"
38.9190,"[0.07875823294557284, 0.005091350415990209, 0.8550175837884848, 0.9504732340277527, 0.9129325119017622]","[0.08524804315265583, 0.004257183293258517, 0.9504732340277527, 0.9809483141057723, 0.9673559770961384]","[0.08743129245487226, 0.003917547791206212, 0.9809483141057723, 1.0030809556919191, 0.9935118929005596]","[0.08993648857148878, 0.004512962671283407, 1.0030809556919191, 1.0230995024287697, 1.0130012591551891]","[0.09288591526472965, 0.004649642693861094, 1.0230995024287697, 1.0509967393897621, 1.0360941559251924]","[0.09785773485119818, 0.005877121242159252, 1.0509967393897621, 1.25604852940378, 1.0849072832431974]"
31.1370,"[0.12525139743609345, 0.009338438911458339, 0.8237402897291703, 0.9385880513665242, 0.8928193317258597]","[0.13879778670399262, 0.007385162961156333, 0.9385880513665242, 0.9759389689167534, 0.9589084698024612]","[0.14386227882152627, 0.007195593410433956, 0.9759389689167534, 1.003477532535246, 0.9915030551367604]","[0.1493845294344811, 0.008234224068901985, 1.003477532535246, 1.0284920844674792, 1.0155693305310096]","[0.15567729257037277, 0.008812708976823949, 1.0284920844674792, 1.0635292248311456, 1.0445911146253237]","[0.16769155894052806, 0.012256403053250738, 1.0635292248311456, 1.331189202266668, 1.106535112834365]"
30.0000,"[0.13544966984045476, 0.010462273762480106, 0.8179684703527561, 0.9361276362968853, 0.8890789623066776]","[0.15093497117245402, 0.008260334139535386, 0.9361276362968853, 0.9750344714040051, 0.9572933870711248]","[0.15705396610526462, 0.00802861562257207, 0.9750344714040051, 1.0034687386743801, 0.9911069806020353]","[0.1632443375941058, 0.009318373378261203, 1.0034687386743801, 1.029619896729111, 1.0160189418661578]","[0.17062600865412533, 0.010133828198508195, 1.029619896729111, 1.0658980502387827, 1.0461703605897563]","[0.18485983787604557, 0.014333949082122117, 1.0658980502387827, 1.345953804925189, 1.1106455523644758]"
27.9000,"[0.15826216454498573, 0.013266437719025581, 0.8061016350979957, 0.9310504933719365, 0.8814614827882278]","[0.17885045558258858, 0.010532190336289212, 0.9310504933719365, 0.9732719206772267, 0.9539718215182623]","[0.1875491364996988, 0.010601459698030669, 0.9732719206772267, 1.0032685990600463, 0.990286878504757]","[0.19567350060266978, 0.012359730041545993, 1.0032685990600463, 1.0319422996769407, 1.0169320685829126]","[0.2061437585582138, 0.013860753449991622, 1.0319422996769407, 1.0707947607876704, 1.0494096439364087]","[0.22669463853743907, 0.02029760754314162, 1.0707947607876704, 1.376791956576243, 1.1191329518796678]"
26.1240,"[0.18340152491772702, 0.016955562435939375, 0.7948232642821907, 0.9260746246752424, 0.8741492232530577]","[0.21040774272731214, 0.013590136872101151, 0.9260746246752424, 0.9715220129361701, 0.950725444831953]","[0.22270845854710566, 0.014109559167215433, 0.9715220129361701, 1.0033332124982255, 0.9894593317523925]","[0.23396548806175746, 0.016596793743082008, 1.0033332124982255, 1.0339287416737557, 1.0177719203627507]","[0.24851571877228756, 0.01879820921718817, 1.0339287416737557, 1.0755406000373364, 1.0525047264377148]","[0.27804146078428393, 0.028632382968670853, 1.0755406000373364, 1.4073100236554685, 1.12736650294308]"
24.5970,"[0.2116021909737284, 0.021836508458676594, 0.7840892159112632, 0.9212126380583839, 0.867139109685036]","[0.2480955927357061, 0.01785595498051132, 0.9212126380583839, 0.9696030009487758, 0.947572505576026]","[0.2643498913754743, 0.018994162929491167, 0.9696030009487758, 1.0034427260225691, 0.9886516642528321]","[0.28040184868724194, 0.022150175240885705, 1.0034427260225691, 1.0358327771791702, 1.0185720029330392]","[0.3002281617271942, 0.025383759503811724, 1.0358327771791702, 1.0801833767636635, 1.0554941787330057]","[0.3414070507503498, 0.038826987442952356, 1.0801833767636635, 1.4375560645716943, 1.1353862600457096]"
23.2680,"[0.24393424503918473, 0.02806677125176892, 0.773836534238371, 0.9164747454581753, 0.8604094936552221]","[0.2918526233850995, 0.02277788160973144, 0.9164747454581753, 0.9676931123976842, 0.9445119113464617]","[0.31494762727975834, 0.029042784318705536, 0.9676931123976842, 1.0032344979037733, 0.9878676186143628]","[0.33544270358576744, 0.02897027905150362, 1.0032344979037733, 1.0376199640646835, 1.0193322125092867]","[0.3621124703637645, 0.032846979072067496, 1.0376199640646835, 1.0847411459373129, 1.0583829081423928]","[0.41769151300709945, 0.05090102296940744, 1.0847411459373129, 1.4674782192054303, 1.1431844797764024]"
22.1000,"[0.2809537699357698, 0.03608635797968614, 0.7640002047751749, 0.9118617777152697, 0.8539192233826838]","[0.3437907487026153, 0.028385705145048092, 0.9118617777152697, 0.9658137269489162, 0.9415221428528795]","[0.3737237491506074, 0.035996945535400685, 0.9658137269489162, 1.0031960580938546, 0.9870750747041387]","[0.39916142822061756, 0.03293660851463279, 1.0031960580938546, 1.038721116737104, 1.0200336511636408]","[0.43403891092683633, 0.040051810356597765, 1.038721116737104, 1.0891871759307068, 1.0611409707097172]","[0.5050977044584584, 0.0633251619342246, 1.0891871759307068, 1.4972012328998952, 1.1507334211374782]"
21.0620,"[0.3233380516403641, 0.0457107473793627, 0.7545821207780911, 0.9076699527812416, 0.8476969273084395]","[0.40351570303159096, 0.03442232563635398, 0.9076699527812416, 0.9640469615356042, 0.9386487634860109]","[0.44134550708435294, 0.04380315767250668, 0.9640469615356042, 1.003183252079151, 0.9863263363063419]","[0.47372168983395196, 0.04033186813419423, 1.003183252079151, 1.0399766582283738, 1.0207257035659958]","[0.516747488432253, 0.04809910508570687, 1.0399766582283738, 1.0931371836339192, 1.063819191930396]","[0.6043966733796154, 0.07401388879935386, 1.0931371836339192, 1.5261256094063664, 1.1580410140969284]"
20.1340,"[0.37103612108848466, 0.05602483417616182, 0.7455599471264173, 0.9032397774783533, 0.8417163610323902]","[0.46959848963378403, 0.04169699531502354, 0.9032397774783533, 0.9622891365435821, 0.9358604257399624]","[0.5152322320848147, 0.05091162873741846, 0.9622891365435821, 1.0030939612020668, 0.9855917585094626]","[0.5554617318358925, 0.047425870713043425, 1.0030939612020668, 1.0417190530763893, 1.0213765868766782]","[0.6075095258071533, 0.055222673547422295, 1.0417190530763893, 1.0965251329310974, 1.0663870160478415]","[0.7072099468304741, 0.08440602345411607, 1.0965251329310974, 1.5543593137429603, 1.165076944934858]"
19.2980,"[0.4245306906801418, 0.06818772865101812, 0.7369454732611452, 0.8993417944796372, 0.8359929977422861]","[0.5443132310147727, 0.054781560988025786, 0.8993417944796372, 0.9606268657503929, 0.933190340215308]","[0.5960676229150901, 0.057223804104876985, 0.9606268657503929, 1.0031486867507569, 0.98488432831653]","[0.6444003808480605, 0.0575124383185787, 1.0031486867507569, 1.0436391227326693, 1.0220275345333325]","[0.7033220544851541, 0.0630066783501569, 1.0436391227326693, 1.0998514075035892, 1.0688533306715284]","[0.8179295128561116, 0.09607751091334388, 1.0998514075035892, 1.5816998511516818, 1.1718656714878684]"
18.5400,"[0.4830853489660357, 0.07969315896258732, 0.7287369468196891, 0.8951116407682866, 0.8305047064005644]","[0.6204372143049783, 0.05303320531542839, 0.8951116407682866, 0.9588831219610839, 0.9306246017814719]","[0.6828381077147757, 0.0614879173445243, 0.9588831219610839, 1.0031333872162984, 0.9842099259163256]","[0.7331026828207645, 0.05585663252604112, 1.0031333872162984, 1.0455290257678322, 1.0226395730828812]","[0.7981028745143308, 0.06251462527959967, 1.0455290257678322, 1.1034909698037816, 1.0712008460093425]","[0.9179286761821129, 0.09859908795294706, 1.1034909698037816, 1.6079540727714403, 1.1783303217747334]"
17.8480,"[0.5470344807836939, 0.09431971457486872, 0.720906864244148, 0.8914071023246714, 0.8252532829056977]","[0.7018162261726173, 0.06028133777584855, 0.8914071023246714, 0.9575211990932766, 0.9281699273245863]","[0.7742266512924726, 0.06683110498346395, 0.9575211990932766, 1.0032750881954648, 0.9835722207833213]","[0.8279173786048272, 0.06336713777787495, 1.0032750881954648, 1.047216315128312, 1.0232442899349639]","[0.8995488653176313, 0.06805626438272631, 1.047216315128312, 1.1070392101170292, 1.0734611586483285]","[1.0284620768003134, 0.10456095543858646, 1.1070392101170292, 1.6331259188195049, 1.1845423093266405]"
17.2150,"[0.6117108340753384, 0.10350724648298948, 0.7134469086430235, 0.8883313945768827, 0.8202390432112233]","[0.7839596289284441, 0.06272356796605329, 0.8883313945768827, 0.9564059854568026, 0.9258256185008378]","[0.8648859337223532, 0.07060888825860233, 0.9564059854568026, 1.003577103811173, 0.9829711458270326]","[0.9214921210037703, 0.06508812190368228, 1.003577103811173, 1.0487154726867718, 1.0238300404910112]","[0.9956208054003242, 0.06919985525962975, 1.0487154726867718, 1.1102259366429297, 1.0756123475409485]","[1.1284394589566373, 0.10230686297399044, 1.1102259366429297, 1.6568493232461907, 1.1904781386079046]"
16.6330,"[0.6802288419987915, 0.11245234042005815, 0.7063523553852137, 0.8853553101258268, 0.8154566699215536]","[0.868980259465742, 0.06446696279857674, 0.8853553101258268, 0.9552444880995319, 0.9235820149623645]","[0.9549942876315687, 0.07040164136659766, 0.9552444880995319, 1.0034007755231444, 0.982403613744436]","[1.011342293831268, 0.06887392435628965, 1.0034007755231444, 1.0505475479631927, 1.0243973290604742]","[1.0940267976618012, 0.07367746816478055, 1.0505475479631927, 1.11373304586009, 1.0776756874908242]","[1.232947448368714, 0.1049328984494954, 1.11373304586009, 1.67882839143767, 1.1961287064217476]"
16.0950,"[0.7467037007320986, 0.12099888111388438, 0.6995617803159652, 0.8825942688837194, 0.810892773148261]","[0.9529460612687973, 0.0662385396714157, 0.8825942688837194, 0.953866720583601, 0.9214231977367708]","[1.0433578631736093, 0.07356063406965027, 0.953866720583601, 1.0034760035502277, 0.9818677312403589]","[1.1028317885313788, 0.06841747174605996, 1.0034760035502277, 1.0517206546923197, 1.0249497363635711]","[1.1799593910869994, 0.07329849875970676, 1.0517206546923197, 1.1168614207064003, 1.0796188604810684]","[1.3167030231489723, 0.10530132296836071, 1.1168614207064003, 1.6993345291132569, 1.2014403610185385]"
15.5960,"[0.8138955578416965, 0.12779341646312312, 0.693075090033653, 0.8799063744944595, 0.8065570776038203]","[1.0283796244597996, 0.06639313723293142, 0.8799063744944595, 0.952599131149001, 0.9193473366527369]","[1.12786600502292, 0.08064544341844627, 0.952599131149001, 1.0035832440499106, 0.9813584618633256]","[1.181566338962012, 0.07216027234236919, 1.0035832440499106, 1.0523753976320402, 1.0254767234381947]","[1.2663036521918511, 0.08019322910467969, 1.0523753976320402, 1.1205190643338652, 1.081500367042018]","[1.409682159710033, 0.11538723923612353, 1.1205190643338652, 1.7191860763075386, 1.2065830866021445]"
