,bin0,bin1,bin2,bin3
43.6190,"[0.06439246479810375, 0.003964743743657962, 0.8745844733625797, 0.9767525456982489, 0.9419646800411956]","[0.06823757514949418, 0.0028960910679768125, 0.9767525456982489, 1.0051422980865714, 0.9918140929718786]","[0.07057701165873086, 0.0029127675468732716, 1.0051422980865714, 1.0298061340127451, 1.0170276617255076]","[0.07459421599450657, 0.0038697089909946825, 1.0298061340127451, 1.2041332569263887, 1.0577747656952745]"
38.9190,"[0.08226214612103076, 0.005311446670412886, 0.8610625999478123, 0.9741339772578105, 0.9353313157445811]","[0.08785575546484184, 0.0037699621439854255, 0.9741339772578105, 1.005549648691524, 0.9907229184045807]","[0.09121411321180305, 0.003816945890115496, 1.005549648691524, 1.0335534008365994, 1.018930043828331]","[0.09703189973750026, 0.005268052378647362, 1.0335534008365994, 1.231354493072361, 1.0648066020454001]"
31.1370,"[0.13247926375886546, 0.0100800033406028, 0.8308711756763555, 0.9673355631657659, 0.9202082317376243]","[0.1446236438868393, 0.006931353192826057, 0.9673355631657659, 1.0064100363219421, 0.9880641511675536]","[0.15192988025982146, 0.0071847891635176825, 1.0064100363219421, 1.0418995042362291, 1.0231883366618282]","[0.1650277561164504, 0.011023622444419349, 1.0418995042362291, 1.2966602018027629, 1.0811012896619574]"
30.0000,"[0.1436610463848755, 0.011361018914927055, 0.825329209992631, 0.9660045564772505, 0.9173848315212874]","[0.1576813463462043, 0.007840093180904706, 0.9660045564772505, 1.006722293067577, 0.9875441585728908]","[0.16624147880752377, 0.008247116825616449, 1.006722293067577, 1.0433188714059534, 1.0239721887344115]","[0.18161291992261616, 0.012924646533983612, 1.0433188714059534, 1.3093759903367486, 1.0841881929756838]"
27.9000,"[0.16904673885427113, 0.01467443122977724, 0.814070721701179, 0.9636630251309084, 0.9116269744808376]","[0.18781250957123746, 0.010307248509760555, 0.9636630251309084, 1.0070352810040226, 0.9864702109356892]","[0.20006021943345817, 0.011258581394660268, 1.0070352810040226, 1.0462238961611368, 1.0255831643526203]","[0.22163861503200338, 0.01810530455448249, 1.0462238961611368, 1.3358080712103622, 1.090558831142325]"
26.1240,"[0.19767106922617741, 0.019129027006752942, 0.8033438960251691, 0.9610212557471866, 0.9060774899594408]","[0.2230736235731922, 0.013785398031383175, 0.9610212557471866, 1.0075714906011313, 0.9853960503369423]","[0.2401215231380155, 0.015345120785020918, 1.0075714906011313, 1.04899179604141, 1.0271084051094925]","[0.27047972394790015, 0.0255293369598979, 1.04899179604141, 1.3618469055379794, 1.0967293915014702]"
24.5970,"[0.23047431455408848, 0.02513086561183882, 0.7930458930590204, 0.9583466482948145, 0.9007412802872454]","[0.2651223248119605, 0.018526114075560596, 0.9583466482948145, 1.0081078733064048, 0.9843467379717603]","[0.2885663558515201, 0.020684887379921676, 1.0081078733064048, 1.051597212473887, 1.0285764015631171]","[0.33054934326919666, 0.03457298646880927, 1.051597212473887, 1.3874815886222276, 1.1027389323452168]"
23.2680,"[0.26846837837987897, 0.03247885663293464, 0.7830843681373527, 0.9556190856458375, 0.8956048194499902]","[0.31483505385166144, 0.024301093534469947, 0.9556190856458375, 1.0085324016769814, 0.9833236329645397]","[0.346340774729167, 0.02701651537724276, 1.0085324016769814, 1.054177600319425, 1.0299880952270408]","[0.40256670455906934, 0.0455122816709128, 1.054177600319425, 1.4126655220602915, 1.1085814377531298]"
22.1000,"[0.3126832456585165, 0.04170087442865761, 0.7735189759260586, 0.9528633743067374, 0.8906338139080838]","[0.3733284894761362, 0.030510173818900813, 0.9528633743067374, 1.0086686826319424, 0.9823008984447344]","[0.4139160342572945, 0.03336697066762195, 1.0086686826319424, 1.0565524501980625, 1.0313239778883947]","[0.48574947235913524, 0.0567686070305781, 1.0565524501980625, 1.4375881765177982, 1.1142252395710155]"
21.0620,"[0.36452889891329604, 0.05333129403251644, 0.7643715255948677, 0.9501780988358671, 0.8858644477488211]","[0.4399129984078929, 0.03701071725896451, 0.9501780988358671, 1.0089625373352515, 0.9813285723396605]","[0.49161426391788193, 0.03987244771543551, 1.0089625373352515, 1.0590971000125415, 1.032635451900465]","[0.5801159008983883, 0.06810684948262173, 1.0590971000125415, 1.4618440319116048, 1.1196919051855847]"
20.1340,"[0.42173596712064504, 0.06538216544303295, 0.7556106264330517, 0.9475522475028323, 0.8812658683725632]","[0.514392240906997, 0.044566558965665616, 0.9475522475028323, 1.009562680622241, 0.9803811734907869]","[0.5764338092793035, 0.04641926736749616, 1.009562680622241, 1.0620213805272622, 1.0338944792606868]","[0.6788397106588269, 0.07772457789440214, 1.0620213805272622, 1.4853035444510307, 1.124941074754918]"
19.2980,"[0.4851826938780722, 0.07753873267776511, 0.7472410217938593, 0.9450192573860752, 0.8768592405524008]","[0.596136593979863, 0.05056455906075296, 0.9450192573860752, 1.0098992645682723, 0.9794795501586501]","[0.6663570959268651, 0.05088695743563971, 1.0098992645682723, 1.0645891697679064, 1.0351111212919266]","[0.7869057192101302, 0.08957287388068012, 1.0645891697679064, 1.5078871061573351, 1.1300050907857453]"
18.5400,"[0.5529844628471001, 0.0890786388549015, 0.7392478046851302, 0.9425612070808104, 0.872631457566605]","[0.6807145930816658, 0.05442604805177796, 0.9425612070808104, 1.0104281455940758, 0.9786106993914426]","[0.7594808613164015, 0.05390417290066104, 1.0104281455940758, 1.0673805039657094, 1.0362732822524134]","[0.8846735670938625, 0.09252946278726241, 1.0673805039657094, 1.5294758057807079, 1.1348212925309842]"
17.8480,"[0.6278952031546468, 0.10339750744108482, 0.7315915883125038, 0.9409947763179847, 0.8685813347791616]","[0.7729554436715507, 0.06150129419583093, 0.9409947763179847, 1.0109725181106108, 0.9777944073260016]","[0.858745788079409, 0.06065464676161386, 1.0109725181106108, 1.069102992001327, 1.03739823367965]","[0.9919808945945824, 0.0981825795680431, 1.069102992001327, 1.5501001795450564, 1.1394460691098847]"
17.2150,"[0.7004348855608703, 0.1118791276591699, 0.7242808671942617, 0.9396934160568138, 0.8647095306676894]","[0.8594696102119471, 0.06390152759900489, 0.9396934160568138, 1.010751744700512, 0.9770086954486691]","[0.951278939675959, 0.058990383877526094, 1.010751744700512, 1.0709126514696046, 1.0384763038961962]","[1.0922056691429107, 0.09777552891165624, 1.0709126514696046, 1.5696391781531676, 1.1438621191940561]"
16.6330,"[0.776958021441545, 0.12083725417621169, 0.7173092510849237, 0.9379646464387161, 0.86100828886388]","[0.9486261416849415, 0.06728079953563132, 0.9379646464387161, 1.0103625301153787, 0.9762637277684892]","[1.0462270423727518, 0.06095893662994828, 1.0103625301153787, 1.0729318420150766, 1.0395303053396143]","[1.1951595338224899, 0.10206529113537864, 1.0729318420150766, 1.5873347585057895, 1.1480512991986258]"
16.0950,"[0.8517967346431863, 0.12964330322168016, 0.7106616640876989, 0.9361118869569457, 0.8574677936285962]","[1.0388405094999464, 0.06962728634752924, 0.9361118869569457, 1.010030782938632, 0.9755528945928672]","[1.132289577934008, 0.06104067616421597, 1.010030782938632, 1.074693188785824, 1.0405379148136262]","[1.2792094020678473, 0.10133568110808695, 1.074693188785824, 1.603776402488951, 1.151972819704778]"
15.5960,"[0.9243131439173792, 0.13589732138410768, 0.7043454376633561, 0.9343207890828278, 0.8540940289754977]","[1.1188297826451015, 0.07212797065518696, 0.9343207890828278, 1.0096669871134998, 0.9748673199637887]","[1.2148269514320214, 0.06434942016430394, 1.0096669871134998, 1.0764907314595198, 1.0415248227741887]","[1.3738225422588044, 0.10943523638116812, 1.0764907314595198, 1.6196633192322245, 1.1557889836109463]"
15.1320,"[0.9994832411108303, 0.14216063449752267, 0.6983065209151691, 0.9325677293715153, 0.8508509682081903]","[1.200006565605802, 0.07122568364506669, 0.9325677293715153, 1.0095154487222728, 0.9742108388516751]","[1.3017492503245016, 0.06678372912890074, 1.0095154487222728, 1.0782551566728666, 1.0424800112574826]","[1.4651364207409825, 0.1108848464017291, 1.0782551566728666, 1.6343168005333228, 1.1594348833427743]"
14.6990,"[1.0788496705001354, 0.15040057960294528, 0.6924927064916887, 0.9308764426039874, 0.8477157202485295]","[1.2868239701977076, 0.07625855342434051, 0.9308764426039874, 1.0097546863712703, 0.9735696542956765]","[1.392736705563024, 0.0730476223667109, 1.0097546863712703, 1.0798946883042024, 1.0433892928211004]","[1.5559401551730532, 0.11525862139667631, 1.0798946883042024, 1.6488212787887992, 1.1629137176935762]"
14.2940,"[1.1492579716681615, 0.15287283985558311, 0.6869734812931655, 0.9300618025749684, 0.844723776179645]","[1.3593841120020078, 0.07604197929628247, 0.9300618025749684, 1.009978607329981, 0.9729597415878051]","[1.4612011706992998, 0.06718162475352707, 1.009978607329981, 1.0815762921222045, 1.0442315798863144]","[1.6218250714783295, 0.11026681022724168, 1.0815762921222045, 1.6610242801667108, 1.1661447252919273]"
13.9140,"[1.213582428638016, 0.15395526992204336, 0.6817019891532577, 0.9288969299998978, 0.8418415703674742]","[1.4265580504238822, 0.07687000218087948, 0.9288969299998978, 1.0097108524671465, 0.9723624966830499]","[1.5325186202091265, 0.08058259700913942, 1.0097108524671465, 1.0827827549090663, 1.045049947145349]","[1.7081310142637236, 0.14585156352451706, 1.0827827549090663, 1.6738035491205043, 1.1693440982552865]"
13.5570,"[1.2881725207472448, 0.1617997159004122, 0.6765688113793356, 0.9267833975147914, 0.8390303927196517]","[1.5073136813769512, 0.08297610573547327, 0.9267833975147914, 1.0093987142468532, 0.9717866250840432]","[1.6144239615100626, 0.07459957669149699, 1.0093987142468532, 1.0843745126044007, 1.0458615298985146]","[1.7734829042721747, 0.10954041579697309, 1.0843745126044007, 1.6851209253118336, 1.1723550124274946]"
13.2210,"[1.3639725879111624, 0.1698956629304228, 0.6716302959405998, 0.9248908373080335, 0.8363224545497301]","[1.584279010043559, 0.08513584297042649, 0.9248908373080335, 1.0095866979982373, 0.9712203289210614]","[1.6911328688976317, 0.08091311080509593, 1.0095866979982373, 1.0858304650476516, 1.0466389923230557]","[1.8522037176839965, 0.12115479366955445, 1.0858304650476516, 1.6972504705520226, 1.1753343002342624]"
12.9030,"[1.4233296437861405, 0.17296369283960117, 0.6669002823565354, 0.9230339297551834, 0.8337040069110571]","[1.6459704923319771, 0.08474864493903651, 0.9230339297551834, 1.0095416331913722, 0.9706755670224352]","[1.7609742071978234, 0.08526595691609722, 1.0095416331913722, 1.087265855036284, 1.0474135184581193]","[1.921177815542551, 0.12232081169219935, 1.087265855036284, 1.7068311656591062, 1.1781701461231493]"
12.6030,"[1.4733606428325485, 0.1675873291409055, 0.662371307564783, 0.9216713793070117, 0.8311647427464003]","[1.7037574242438593, 0.0883639481721948, 0.9216713793070117, 1.0096006633248125, 0.9701706878699483]","[1.8125920853424975, 0.08119175706834846, 1.0096006633248125, 1.0885774051791042, 1.048126567520121]","[1.9873413032479224, 0.13176032850751185, 1.0885774051791042, 1.7187037838905848, 1.1810451927957568]"
12.3180,"[1.531143844737652, 0.16865444383236247, 0.6580216602345943, 0.9205068158058507, 0.8287443043297876]","[1.7541011981090495, 0.0907618557289104, 0.9205068158058507, 1.0100378941141916, 0.9696684584633587]","[1.8620178827349958, 0.083518414988487, 1.0100378941141916, 1.0898765411813516, 1.0488447952898667]","[2.0440729611732396, 0.13781351595111543, 1.0898765411813516, 1.730739253578375, 1.1837463248058877]"
12.0480,"[1.597155938294156, 0.17349684306838248, 0.6536927176287083, 0.918867156480017, 0.8262985553774798]","[1.8306949404443926, 0.09531608419291933, 0.918867156480017, 1.0096776322277312, 0.9691416451171243]","[1.9336978474710622, 0.07913010705447904, 1.0096776322277312, 1.0909353718084052, 1.0495185399725355]","[2.111735744011278, 0.13732069552875137, 1.0909353718084052, 1.7422471552986123, 1.186399344085056]"
11.7910,"[1.64711973610566, 0.1752222077745595, 0.649626193069633, 0.91755993062741, 0.8239654325895153]","[1.8776551981255538, 0.10029924297253257, 0.91755993062741, 1.0099222107732455, 0.9686086008864576]","[1.9904310489839803, 0.09304341797250824, 1.0099222107732455, 1.0919798334571933, 1.0502007927432646]","[2.169252480112713, 0.1300883121365671, 1.0919798334571933, 1.7500258035822231, 1.1888453610312801]"
11.5460,"[1.7016011260236716, 0.17859384742841009, 0.6456229321147169, 0.9163098668720167, 0.8216682632789165]","[1.9313583554929896, 0.10258649880319556, 0.9163098668720167, 1.0101220536714535, 0.9680609652871403]","[2.051037665235566, 0.10383916537889278, 1.0101220536714535, 1.093413809981884, 1.0508292068037297]","[2.238342190983685, 0.14885565437417755, 1.093413809981884, 1.762903293322961, 1.1914750944015144]"
11.3130,"[1.7565185096606435, 0.183230242251013, 0.6417535706080683, 0.9153489271649918, 0.819424620609511]","[1.9858207909911443, 0.10759752238729112, 0.9153489271649918, 1.0097748381441027, 0.9675484895408756]","[2.106004426051081, 0.1013116601950514, 1.0097748381441027, 1.0945246920719776, 1.0514305991498116]","[2.289668426317332, 0.14980986050543268, 1.0945246920719776, 1.7748268358295654, 1.1939465129645443]"
11.0900,"[1.8004342689326365, 0.18432250953326798, 0.6380762277857354, 0.9148803351566626, 0.8172832529387524]","[2.0263593135319944, 0.10937317968931917, 0.9148803351566626, 1.00935829211586, 0.967057269671866]","[2.147724557307767, 0.09753087561268085, 1.00935829211586, 1.0955096381732894, 1.052026847148652]","[2.341966389943871, 0.14857703393799868, 1.0955096381732894, 1.7838066008577462, 1.1964426012857727]"
10.8770,"[1.8417616293926846, 0.17709982698726007, 0.634508789049258, 0.914260921504649, 0.8151772235512837]","[2.0616412736670204, 0.10649817121342223, 0.914260921504649, 1.009721331484505, 0.9665621593241712]","[2.178756025735892, 0.09317878297773295, 1.009721331484505, 1.0962053652515698, 1.052601742692859]","[2.372988493997671, 0.14602342640113797, 1.0962053652515698, 1.7941899515410782, 1.1987723688652494]"
10.6730,"[1.898355915973815, 0.1878328542337976, 0.630812056643509, 0.9135390405583349, 0.8129434519265595]","[2.141069110004099, 0.12046429588335783, 0.9135390405583349, 1.0099929946190211, 0.966029620447311]","[2.264610060308747, 0.11367735370418296, 1.0099929946190211, 1.0977731720774784, 1.053232979390738]","[2.465690953156701, 0.1636181660907777, 1.0977731720774784, 1.804876463834133, 1.2013434678230117]"
10.4780,"[1.937482017685962, 0.18947151702185086, 0.6273478322657504, 0.9130554329634905, 0.8108737153956225]","[2.170141270917842, 0.11688143743498916, 0.9130554329634905, 1.010428950735568, 0.9654525196035861]","[2.291002956062032, 0.12062401167254062, 1.010428950735568, 1.0986676070056036, 1.053739801079131]","[2.5174615593238086, 0.1968066172926005, 1.0986676070056036, 1.8154936396129122, 1.2038759650088235]"
10.2900,"[1.9916824591091717, 0.19308701789048188, 0.6238920496153533, 0.9121547541708476, 0.8087721562214162]","[2.2301087376753337, 0.12575442074439727, 0.9121547541708476, 1.0109263880380108, 0.9649280952579093]","[2.348672860552714, 0.12475592085790552, 1.0109263880380108, 1.0997240070121843, 1.054252444942848]","[2.582206797236979, 0.20137908248734568, 1.0997240070121843, 1.8289159552884091, 1.2062739114358039]"
10.1100,"[2.0329314111279477, 0.1967012029646857, 0.6206301562352259, 0.9110018482626797, 0.8068087493867746]","[2.2773987702673972, 0.1302886139632271, 0.9110018482626797, 1.011030044974816, 0.9644990558842795]","[2.397879387552872, 0.11293474087697428, 1.011030044974816, 1.1012236525045676, 1.0548675464665365]","[2.597192773709903, 0.18588526275469006, 1.1012236525045676, 1.8364865455041932, 1.2081874745534]"
9.9380,"[2.0733298694657885, 0.1916573503965166, 0.6173234209852813, 0.9098788137854424, 0.8047435604269179]","[2.3159922446350634, 0.1356341981524399, 0.9098788137854424, 1.011279101980473, 0.963927300312238]","[2.4278541410987216, 0.11542740164982149, 1.011279101980473, 1.102268650996771, 1.0552363275390613]","[2.6707941219492453, 0.20933367935591243, 1.102268650996771, 1.8515026437163409, 1.2108933103037334]"
9.7710,"[2.0934734304987774, 0.19523176842900697, 0.6143253319907198, 0.9093658140609452, 0.8028740482467306]","[2.3470064329602676, 0.1399810808885981, 0.9093658140609452, 1.011314809718088, 0.9634899277309303]","[2.4607930533590507, 0.12634171687255472, 1.011314809718088, 1.1035422676056421, 1.0557708075281538]","[2.6936112023458247, 0.21674290791222223, 1.1035422676056421, 1.8606712800221135, 1.2129628239318986]"
9.6110,"[2.1529066200945697, 0.1917746148937199, 0.6109975910681426, 0.9083671409497516, 0.8007868964693782]","[2.4084628956315464, 0.131686063746276, 0.9083671409497516, 1.0114467090208348, 0.9628929148479178]","[2.5361942002353444, 0.12234290458047484, 1.0114467090208348, 1.1047767155545185, 1.0563780387038968]","[2.7615011166887995, 0.1867427651339834, 1.1047767155545185, 1.8697588772616498, 1.2153369329561043]"
9.4570,"[2.188764925935226, 0.19445497330055653, 0.6080353633935874, 0.9077774813187856, 0.7989828517735937]","[2.4400802532326136, 0.13212670867395804, 0.9077774813187856, 1.0119837244013294, 0.9624712241516854]","[2.5623564068128086, 0.12204460158214794, 1.0119837244013294, 1.105809786332912, 1.0568499102814854]","[2.784370271472629, 0.18745940659284394, 1.105809786332912, 1.875217602237379, 1.2172987602746488]"
9.3080,"[2.215175011664484, 0.19991702433765018, 0.6051336712509666, 0.9073465386587635, 0.7970647144442538]","[2.484322049587706, 0.14106741008380738, 0.9073465386587635, 1.012203849466363, 0.9619844631733524]","[2.61123897025331, 0.12199105052998749, 1.012203849466363, 1.1067918339111686, 1.0574095847472649]","[2.830245388943534, 0.18206547461414666, 1.1067918339111686, 1.8866351175286613, 1.2196797666776358]"
9.1640,"[2.2738947873350424, 0.20726201278556194, 0.6021273460327641, 0.9064837914947521, 0.7951227181174566]","[2.530106052781244, 0.14814159346439784, 0.9064837914947521, 1.0122348096993425, 0.9613869569294037]","[2.6558561207732976, 0.1315641739035126, 1.0122348096993425, 1.1077204946085584, 1.0577188209453583]","[2.8783974246582553, 0.19460432470423855, 1.1077204946085584, 1.8999101015362003, 1.2220704375396987]"
9.0260,"[2.2867385055580605, 0.21329414476374767, 0.5993396047736865, 0.9059879672198313, 0.7932690777025797]","[2.5610629070406605, 0.15786437503342343, 0.9059879672198313, 1.0122076767438877, 0.9609550723336714]","[2.6891675850471257, 0.13786730272151612, 1.0122076767438877, 1.1091140133753328, 1.0582045140580825]","[2.929138584349681, 0.21511190815407727, 1.1091140133753328, 1.9144689748325219, 1.2243665757036313]"
8.8920,"[2.339885179731283, 0.2069792512243511, 0.5963479282864778, 0.9045131587337483, 0.7913060979328815]","[2.621922023979679, 0.14790381889356252, 0.9045131587337483, 1.0126660369160245, 0.960452024452917]","[2.7495400496304923, 0.13166262158910877, 1.0126660369160245, 1.1105470224072527, 1.0586988773048347]","[2.966655764252034, 0.19077419969516624, 1.1105470224072527, 1.9238647501898136, 1.226444754264207]"
8.7620,"[2.3455720831941833, 0.2080619391071439, 0.593664936899122, 0.9040440579329053, 0.7894381371974225]","[2.6254315684062854, 0.14945154765711077, 0.9040440579329053, 1.01173987713586, 0.9597945498054248]","[2.775832835399559, 0.15249845387275474, 1.01173987713586, 1.1108787931291613, 1.0590711436032365]","[3.020636318744129, 0.21283169368724278, 1.1108787931291613, 1.9352392305054977, 1.229210370629501]"
8.6360,"[2.400651324932067, 0.20204200277437068, 0.5908825218920329, 0.9029444290970002, 0.7876279808984613]","[2.67482497529169, 0.14772310617161669, 0.9029444290970002, 1.012555437160986, 0.9592740607899518]","[2.821957981274766, 0.14861506630408633, 1.012555437160986, 1.112140705368536, 1.059533648447126]","[3.0672566098085876, 0.21175702274079494, 1.112140705368536, 1.9520631788503449, 1.2315647931193414]"
8.5150,"[2.428393355929562, 0.20601780296786656, 0.5881050130881414, 0.9016605881964761, 0.7857437917253249]","[2.711522667300343, 0.14401452028033676, 0.9016605881964761, 1.0128201315413212, 0.958748846314986]","[2.868103179087509, 0.14148846566164827, 1.0128201315413212, 1.1135691691779768, 1.0599949765272865]","[3.1226234926587417, 0.2212301161331958, 1.1135691691779768, 1.9591722135456766, 1.2337526995197692]"
8.3970,"[2.456789578992841, 0.221653137849579, 0.5855947961052373, 0.9007652615019455, 0.7840308458600378]","[2.745636291674646, 0.17726538123736293, 0.9007652615019455, 1.012188416915872, 0.9582686415966953]","[2.872576980574572, 0.15439932100337384, 1.012188416915872, 1.114138756105488, 1.0601669503971392]","[3.122678535390166, 0.2412482926510968, 1.114138756105488, 1.9769030903334557, 1.2359109795379792]"
