# a, b factors
-7.89668e-01 5.80006e+01 9.87062e-01
-9.82783e-01 5.95101e+01 1.04200e+00
-5.29430e-01 5.56442e+01 1.08297e+00
-6.51341e-01 5.65799e+01 1.16620e+00
-6.92927e-01 5.69076e+01 1.18702e+00
-6.65465e-01 5.66167e+01 1.20083e+00
2.51786e+00 2.83398e+01 0.00000e+00
-2.40973e-02 5.26572e+01 2.99352e-01
1.28651e+00 4.03737e+01 0.00000e+00
1.67043e+00 3.63100e+01 0.00000e+00
2.61229e+00 2.72267e+01 0.00000e+00
2.33049e+00 2.97486e+01 0.00000e+00
2.12238e+00 3.16305e+01 0.00000e+00
1.85597e+00 3.41232e+01 0.00000e+00
2.49576e+00 2.78575e+01 0.00000e+00
2.41750e+00 2.86128e+01 0.00000e+00
2.60727e+00 2.65993e+01 0.00000e+00
2.69743e+00 2.56374e+01 0.00000e+00
2.47537e+00 2.78262e+01 0.00000e+00
2.11889e+00 3.15211e+01 0.00000e+00
2.11041e+00 3.15054e+01 0.00000e+00
2.06382e+00 3.20008e+01 0.00000e+00
2.17235e+00 3.08373e+01 0.00000e+00
2.25179e+00 3.00365e+01 0.00000e+00
1.92267e+00 3.34158e+01 0.00000e+00
1.81482e+00 3.45379e+01 0.00000e+00
1.94798e+00 3.31164e+01 0.00000e+00
1.95681e+00 3.30022e+01 0.00000e+00
2.02366e+00 3.22773e+01 0.00000e+00
1.79092e+00 3.47200e+01 0.00000e+00
1.63457e+00 3.63499e+01 0.00000e+00
1.70593e+00 3.55902e+01 0.00000e+00
1.73881e+00 3.52242e+01 0.00000e+00
1.74791e+00 3.51218e+01 0.00000e+00
1.72402e+00 3.53652e+01 0.00000e+00
1.74121e+00 3.51798e+01 0.00000e+00
1.72522e+00 3.53310e+01 0.00000e+00
1.84839e+00 3.39802e+01 0.00000e+00
1.77720e+00 3.47494e+01 0.00000e+00
1.76028e+00 3.49148e+01 0.00000e+00
1.72914e+00 3.52475e+01 0.00000e+00
1.73782e+00 3.51197e+01 0.00000e+00
1.71301e+00 3.53752e+01 0.00000e+00
1.78414e+00 3.46083e+01 0.00000e+00
1.87030e+00 3.36605e+01 0.00000e+00
1.87125e+00 3.36209e+01 0.00000e+00
1.87362e+00 3.35896e+01 0.00000e+00
1.86985e+00 3.36305e+01 0.00000e+00
1.92079e+00 3.30375e+01 0.00000e+00
1.95279e+00 3.26766e+01 0.00000e+00
2.01870e+00 3.19318e+01 0.00000e+00
1.94291e+00 3.27711e+01 0.00000e+00
1.93594e+00 3.28286e+01 0.00000e+00
1.94527e+00 3.27132e+01 0.00000e+00
1.97152e+00 3.24125e+01 0.00000e+00
1.95889e+00 3.25250e+01 0.00000e+00
1.98320e+00 3.22615e+01 0.00000e+00
1.98951e+00 3.21780e+01 0.00000e+00
1.97688e+00 3.23030e+01 0.00000e+00
1.97064e+00 3.23576e+01 0.00000e+00
1.97740e+00 3.22665e+01 0.00000e+00
1.93969e+00 3.26822e+01 0.00000e+00
1.93539e+00 3.27128e+01 0.00000e+00
1.94974e+00 3.25428e+01 0.00000e+00
1.89649e+00 3.31406e+01 0.00000e+00
1.88465e+00 3.32610e+01 0.00000e+00
1.79389e+00 3.42755e+01 0.00000e+00
1.85267e+00 3.36018e+01 0.00000e+00
1.85700e+00 3.35500e+01 0.00000e+00
1.75900e+00 3.46377e+01 0.00000e+00
1.69104e+00 3.54116e+01 0.00000e+00
1.67795e+00 3.55650e+01 0.00000e+00
1.64783e+00 3.58898e+01 0.00000e+00
1.54340e+00 3.70796e+01 0.00000e+00
1.59436e+00 3.64919e+01 0.00000e+00
1.56263e+00 3.68442e+01 0.00000e+00
1.52082e+00 3.73238e+01 0.00000e+00
1.55707e+00 3.68914e+01 0.00000e+00
1.52080e+00 3.73137e+01 0.00000e+00
1.51840e+00 3.73282e+01 0.00000e+00
1.46089e+00 3.79916e+01 0.00000e+00
