# z	a	b	c	err_a	err_b	err_c
43.619	-2.3874e-02	1.3723e-01	9.5526e-01	1.2017e-02	2.4230e-02	1.2188e-02
38.919	-1.8053e-02	1.5392e-01	9.5340e-01	1.2632e-02	2.5533e-02	1.2868e-02
31.137	4.3207e-02	1.3257e-01	9.7534e-01	1.5566e-02	3.1680e-02	1.6052e-02
30.000	7.1824e-02	1.0457e-01	9.8940e-01	1.6627e-02	3.3890e-02	1.7192e-02
27.900	1.6218e-01	3.2434e-03	1.0351e+00	1.9781e-02	4.0448e-02	2.0571e-02
26.124	2.9240e-01	-1.4716e-01	1.0969e+00	2.4175e-02	4.9596e-02	2.5289e-02
24.597	4.3801e-01	-2.8768e-01	1.1434e+00	3.0025e-02	6.1808e-02	3.1599e-02
23.268	6.0885e-01	-4.3600e-01	1.1847e+00	3.6621e-02	7.5646e-02	3.8778e-02
22.100	7.2158e-01	-4.2296e-01	1.1392e+00	4.4181e-02	9.1575e-02	4.7067e-02
21.062	8.4370e-01	-3.7665e-01	1.0693e+00	5.1840e-02	1.0782e-01	5.5559e-02
20.134	8.6345e-01	-1.0090e-01	8.9174e-01	5.9621e-02	1.2440e-01	6.4266e-02
19.298	8.6269e-01	2.7343e-01	6.6006e-01	7.4666e-02	1.5629e-01	8.0933e-02
18.540	7.2000e-01	8.8142e-01	3.4997e-01	7.2727e-02	1.5270e-01	7.9248e-02
17.848	6.5025e-01	1.4476e+00	3.7098e-02	8.4088e-02	1.7707e-01	9.2094e-02
17.215	3.9065e-01	2.3330e+00	-3.9071e-01	8.6989e-02	1.8369e-01	9.5723e-02
16.633	3.0893e-01	2.9142e+00	-6.7465e-01	9.4101e-02	1.9922e-01	1.0400e-01
16.095	-5.4940e-02	3.9736e+00	-1.1428e+00	9.8309e-02	2.0863e-01	1.0909e-01
15.596	-6.4204e-02	4.3561e+00	-1.2876e+00	1.0643e-01	2.2638e-01	1.1857e-01
15.132	-3.3044e-01	5.3114e+00	-1.7112e+00	1.1958e-01	2.5493e-01	1.3372e-01
14.699	-4.4744e-01	5.9831e+00	-1.9851e+00	1.2850e-01	2.7454e-01	1.4421e-01
14.294	-8.1746e-01	7.0169e+00	-2.3795e+00	1.2895e-01	2.7600e-01	1.4514e-01
13.914	-3.7790e-01	6.5099e+00	-2.0518e+00	1.7317e-01	3.7141e-01	1.9558e-01
13.557	-1.0292e+00	8.2452e+00	-2.7920e+00	1.5244e-01	3.2753e-01	1.7266e-01
13.221	-8.7494e-01	8.4323e+00	-2.7983e+00	1.7949e-01	3.8643e-01	2.0398e-01
12.903	-7.6604e-01	8.5961e+00	-2.7860e+00	1.8591e-01	4.0093e-01	2.1186e-01
12.603	-5.3840e-01	8.5032e+00	-2.6359e+00	1.9545e-01	4.2235e-01	2.2349e-01
12.318	-1.2441e-01	7.8630e+00	-2.1426e+00	2.0297e-01	4.3948e-01	2.3288e-01
12.048	-6.4967e-01	9.4814e+00	-2.8104e+00	2.1880e-01	4.7468e-01	2.5185e-01
11.791	-7.6250e-01	1.0130e+01	-3.0309e+00	2.4023e-01	5.2192e-01	2.7714e-01
11.546	4.3654e-01	8.2547e+00	-2.0469e+00	2.5924e-01	5.6456e-01	3.0033e-01
11.313	8.2259e-01	7.8726e+00	-1.6890e+00	2.8223e-01	6.1596e-01	3.2820e-01
11.090	-2.2461e-01	1.0319e+01	-2.7333e+00	2.8011e-01	6.1218e-01	3.2640e-01
10.877	-3.5362e-01	1.0606e+01	-2.6002e+00	3.0420e-01	6.6592e-01	3.5543e-01
10.673	6.4002e-03	1.1206e+01	-3.0400e+00	3.2039e-01	7.0284e-01	3.7566e-01
10.478	1.0150e+00	9.4606e+00	-2.0208e+00	3.6164e-01	7.9522e-01	4.2580e-01
10.290	2.3876e+00	7.5588e+00	-1.0717e+00	3.9883e-01	8.7934e-01	4.7183e-01
10.110	1.0611e+00	1.0435e+01	-2.2122e+00	4.0035e-01	8.8380e-01	4.7451e-01
9.938	2.7457e+00	7.7421e+00	-8.4290e-01	4.4871e-01	9.9345e-01	5.3462e-01
9.771	2.3489e+00	8.9141e+00	-1.3357e+00	4.9581e-01	1.0996e+00	5.9236e-01
9.611	2.3574e+00	9.6097e+00	-1.4354e+00	4.3933e-01	9.7622e-01	5.2651e-01
9.457	1.2845e+00	1.1819e+01	-2.1582e+00	4.6161e-01	1.0269e+00	5.5414e-01
9.308	8.0454e-01	1.3755e+01	-3.1708e+00	4.8359e-01	1.0783e+00	5.8289e-01
9.164	9.1067e-01	1.4328e+01	-3.2667e+00	5.1957e-01	1.1613e+00	6.2886e-01
9.026	2.9279e+00	1.1004e+01	-1.7429e+00	5.5149e-01	1.2360e+00	6.7065e-01
8.892	-5.3140e-02	1.7726e+01	-4.6381e+00	5.7865e-01	1.2984e+00	7.0486e-01
8.762	2.4325e+00	1.3596e+01	-2.8265e+00	5.9864e-01	1.3486e+00	7.3458e-01
8.636	4.3917e+00	1.0218e+01	-9.6772e-01	5.7064e-01	1.2894e+00	7.0409e-01
8.515	3.9979e+00	1.1730e+01	-1.4492e+00	5.8992e-01	1.3349e+00	7.2944e-01
8.397	3.8721e+00	1.2798e+01	-2.0413e+00	7.0044e-01	1.5909e+00	8.7197e-01
8.283	4.3133e+00	1.2342e+01	-1.4837e+00	6.1462e-01	1.3986e+00	7.6753e-01
8.172	4.4053e+00	1.3065e+01	-1.8122e+00	6.5816e-01	1.5010e+00	8.2494e-01
8.064	1.5482e+00	1.9227e+01	-4.3450e+00	6.4374e-01	1.4696e+00	8.0792e-01
7.960	3.8179e+00	1.5103e+01	-2.0785e+00	6.1557e-01	1.4106e+00	7.7811e-01
7.859	3.2100e+00	1.7820e+01	-3.5346e+00	7.5227e-01	1.7262e+00	9.5233e-01
7.760	1.5205e+00	2.1237e+01	-4.8747e+00	6.8652e-01	1.5772e+00	8.7069e-01
7.664	4.8393e+00	1.5365e+01	-1.7169e+00	7.7857e-01	1.7981e+00	9.9733e-01
7.570	9.3198e-01	2.4019e+01	-5.7481e+00	7.7600e-01	1.7925e+00	9.9356e-01
7.480	3.6031e+00	1.8992e+01	-3.0521e+00	7.5400e-01	1.7548e+00	9.7975e-01
7.391	9.7834e-01	2.6297e+01	-6.7418e+00	8.0699e-01	1.8736e+00	1.0419e+00
7.305	2.0728e+00	2.5408e+01	-6.4110e+00	8.0541e-01	1.8796e+00	1.0500e+00
