,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
43.6190,"[0.0577431096552853, 0.003930695308047774, 0.8302909886142528, 0.9170344023678381, 0.8890134053759158]","[0.06221300982513066, 0.003763008063308458, 0.9170344023678381, 0.9443185323223493, 0.9320396406679046]","[0.06412567400537494, 0.0038902068077508243, 0.9443185323223493, 0.9631961950044262, 0.9534318261480468]","[0.06511367681217463, 0.003930050383365646, 0.9631961950044262, 0.9772331365431329, 0.9703720186574567]","[0.0659993482233236, 0.0036720940656947945, 0.9772331365431329, 0.9911561383683242, 0.9843843853633347]","[0.06652467221959255, 0.0040008544860361695, 0.9911561383683242, 1.0018392440790673, 0.9965498653867387]","[0.06794603403779616, 0.0035091837035725283, 1.0018392440790673, 1.01361455815784, 1.007031665947978]","[0.06931031004886731, 0.003944783463329576, 1.01361455815784, 1.02535130679749, 1.01927640735129]","[0.06980604047938906, 0.0032416049681473487, 1.02535130679749, 1.0378592843739627, 1.0311160059724862]","[0.07223175777700372, 0.0044826482794673665, 1.0378592843739627, 1.053337758910433, 1.045157185386819]","[0.07301549760764642, 0.00460387916325951, 1.053337758910433, 1.0790408655521762, 1.0652275936485092]","[0.0770776273758549, 0.004445211794138251, 1.0790408655521762, 1.263664002564003, 1.1149285845682906]"
38.9190,"[0.07310294230844328, 0.005084386284939755, 0.8123644805875678, 0.9075559188747142, 0.8768541885068928]","[0.07946026047995461, 0.0048370400992575864, 0.9075559188747142, 0.937895898734242, 0.9241248207956229]","[0.08183074873888213, 0.005025615976875636, 0.937895898734242, 0.9586111058767317, 0.9478781275543642]","[0.0835474323801916, 0.005071463152592452, 0.9586111058767317, 0.9739973599564868, 0.9666484658944525]","[0.08480402142161042, 0.004686269284209306, 0.9739973599564868, 0.9900059373831247, 0.9823762601988578]","[0.08552926018308488, 0.00508986359033249, 0.9900059373831247, 1.0017681999636538, 0.9958766332911013]","[0.08772164941407014, 0.00458067747528688, 1.0017681999636538, 1.014899589876618, 1.0076128213202087]","[0.08955255947043188, 0.005109858345245109, 1.014899589876618, 1.0281236815352495, 1.021328690659718]","[0.09032562559350925, 0.004305783358310632, 1.0281236815352495, 1.04197185316299, 1.0345448031785194]","[0.09364700912158738, 0.005784457362386331, 1.04197185316299, 1.0598059603150294, 1.050404447674965]","[0.09509384133198075, 0.00601318506554724, 1.0598059603150294, 1.089161353416742, 1.072944832117081]","[0.10100793404096349, 0.006094069299039952, 1.089161353416742, 1.2999804535854096, 1.1292593559764768]"
31.1370,"[0.114665227017926, 0.008750683762684803, 0.773006305438071, 0.8863332404458281, 0.8496076739407254]","[0.12704415847120237, 0.008249712627339827, 0.8863332404458281, 0.9228425013833318, 0.9059687258663766]","[0.13210623712413544, 0.008931776480468674, 0.9228425013833318, 0.9476872208883506, 0.9350459652732156]","[0.13556937393171792, 0.008669197663783951, 0.9476872208883506, 0.9671825782430847, 0.9578859363645608]","[0.13909296755195186, 0.008563981240290655, 0.9671825782430847, 0.9869437429086777, 0.9775359548571679]","[0.1404857795214256, 0.00877145964156144, 0.9869437429086777, 1.001498070521578, 0.994106870667856]","[0.14423031368271705, 0.007619684016633763, 1.001498070521578, 1.0179276611272179, 1.0087291543794468]","[0.14947968027833178, 0.009911499517314142, 1.0179276611272179, 1.0339251252184787, 1.0257981885917753]","[0.15094027853199912, 0.008071909786861658, 1.0339251252184787, 1.050736699054863, 1.0421808793130845]","[0.15751962829457258, 0.010821326731250922, 1.050736699054863, 1.0738709576967944, 1.062412109454319]","[0.16182834753015493, 0.011606214505679556, 1.0738709576967944, 1.1115007773007424, 1.0906144829232685]","[0.1760231054473873, 0.013389517169920885, 1.1115007773007424, 1.3892183955586466, 1.1628466043660504]"
30.0000,"[0.12377885386326258, 0.010049772285768152, 0.765920782322216, 0.882139217602729, 0.844586720467439]","[0.13718756812340857, 0.009048802128518971, 0.882139217602729, 0.919686519219789, 0.9025565183903017]","[0.14327028791450058, 0.00990733621136184, 0.919686519219789, 0.9459172036359517, 0.9326278844340558]","[0.14729319029431043, 0.009651281827516303, 0.9459172036359517, 0.9657563160578815, 0.9561993443282227]","[0.1513610827285243, 0.009683743816813608, 0.9657563160578815, 0.9864214327057271, 0.9765891506467033]","[0.15317188390923003, 0.009816572607337528, 0.9864214327057271, 1.0013472372454209, 0.9937459879062166]","[0.1573428885475586, 0.008537095910334037, 1.0013472372454209, 1.018415063570387, 1.0089134596332034]","[0.16334060159732888, 0.011220161577413726, 1.018415063570387, 1.0352229919973006, 1.0265977479683999]","[0.16523602889122038, 0.009199521147422637, 1.0352229919973006, 1.0524981777204983, 1.043585417425884]","[0.1726466522066017, 0.012284693276517789, 1.0524981777204983, 1.0765465182504617, 1.0646574736920456]","[0.17794562013169457, 0.013501044359519944, 1.0765465182504617, 1.1157840744309253, 1.093942550783153]","[0.19507759567363508, 0.015792352231312427, 1.1157840744309253, 1.4068848909414924, 1.1692648680230655]"
27.9000,"[0.1434847953395069, 0.01236865711644282, 0.7517217315207098, 0.8743587122984473, 0.8343907247832565]","[0.16049019490596847, 0.011351731555660216, 0.8743587122984473, 0.9136947242179428, 0.8955897971285963]","[0.16875943322286252, 0.01268950841108242, 0.9136947242179428, 0.9414910707584306, 0.9276794285893332]","[0.17416397072759232, 0.012270403204634284, 0.9414910707584306, 0.9631536040344874, 0.9527237145239638]","[0.17980599502291966, 0.012510975665830912, 0.9631536040344874, 0.9849157858259568, 0.9746335827281193]","[0.18154078131826099, 0.011170058121963066, 0.9849157858259568, 1.000968459009168, 0.9929882974118316]","[0.18853414919847863, 0.012443427556498665, 1.000968459009168, 1.0192506878781733, 1.0092733835764645]","[0.19541621652074545, 0.014574657437609835, 1.0192506878781733, 1.0372180817341397, 1.0282141632501054]","[0.19887481595097334, 0.0120696440277534, 1.0372180817341397, 1.0559345162336056, 1.0464643719938114]","[0.20963321210019562, 0.016651349083143367, 1.0559345162336056, 1.082638960972595, 1.0692711715512302]","[0.21698342640547763, 0.01860244131261001, 1.082638960972595, 1.1243056143315007, 1.1007806868666]","[0.24175732041552292, 0.022978277957102798, 1.1243056143315007, 1.4438009520904629, 1.1825444496200925]"
26.1240,"[0.1646527068380648, 0.015325274416481368, 0.7384306904991826, 0.8666889067142853, 0.8246551973078505]","[0.1862962114965473, 0.014494516013575726, 0.8666889067142853, 0.907914066116819, 0.888865373369773]","[0.19736418689466068, 0.016330081637246772, 0.907914066116819, 0.9379006821647541, 0.9228869803941447]","[0.20459770294679516, 0.015606965408446725, 0.9379006821647541, 0.9606278496391795, 0.9493122137426985]","[0.21227417484517638, 0.01646101730996223, 0.9606278496391795, 0.9835739575536607, 0.9726990649141306]","[0.21577448204881422, 0.015887441936459155, 0.9835739575536607, 1.0009016321842128, 0.9922219722246691]","[0.22409892891546432, 0.016193837768316195, 1.0009016321842128, 1.0196380472173565, 1.0095661487495524]","[0.23382303089613354, 0.01941691860778062, 1.0196380472173565, 1.039205749238619, 1.0297199359199842]","[0.238771063101134, 0.016197631353277668, 1.039205749238619, 1.059168693848604, 1.049190662398109]","[0.25358646331416596, 0.022467562041783438, 1.059168693848604, 1.0879215940908118, 1.0737171922012754]","[0.26432587432029414, 0.025262658491238984, 1.0879215940908118, 1.1329274285101973, 1.1073607116245476]","[0.3002954630051752, 0.03261597953194122, 1.1329274285101973, 1.4803759260054772, 1.1954670777020717]"
24.5970,"[0.18760632217042097, 0.01889421030444851, 0.7259986939759521, 0.8587405954850024, 0.8153492331850912]","[0.21543176960145782, 0.018527052317163766, 0.8587405954850024, 0.9022939742273449, 0.8823847708791607]","[0.2307935733158267, 0.021375561421607688, 0.9022939742273449, 0.9343286137284559, 0.9182461232886986]","[0.2401002666137067, 0.0206576409451622, 0.9343286137284559, 0.9581454266880217, 0.9459943598365592]","[0.2503832712485718, 0.022010208319682017, 0.9581454266880217, 0.9824500423443723, 0.9708192209059536]","[0.2557840337464447, 0.021434889988651215, 0.9824500423443723, 1.0006039842197545, 0.9914673552608825]","[0.2667153135314934, 0.021499602297147785, 1.0006039842197545, 1.020691969165823, 1.0098025849178722]","[0.2797596738182257, 0.025419721334056553, 1.020691969165823, 1.0413513595953081, 1.0311746616378006]","[0.28763917171377973, 0.02228519607856163, 1.0413513595953081, 1.0627332314129925, 1.051824172714177]","[0.30603031175836587, 0.03038854216453528, 1.0627332314129925, 1.0927793702498325, 1.078015114826526]","[0.32339707586833616, 0.03372371071217245, 1.0927793702498325, 1.140889300488218, 1.1137284124088265]","[0.3731663097263907, 0.0443862302961849, 1.140889300488218, 1.5165630135842152, 1.20806614322726]"
23.2680,"[0.21314968796702044, 0.02361546641181379, 0.7143183070473148, 0.851890916350569, 0.8064355792906102]","[0.24867177543534086, 0.02337766282730235, 0.851890916350569, 0.8969420642842882, 0.8761383209533186]","[0.26919348426139006, 0.0287023220962198, 0.8969420642842882, 0.9304307446596127, 0.9137490668520799]","[0.281209526006322, 0.025192208583725863, 0.9304307446596127, 0.9552872828907966, 0.9427854408272008]","[0.29483786309848437, 0.0286271224678668, 0.9552872828907966, 0.9815258933918946, 0.9689879061826642]","[0.3027042536671013, 0.0280503275552114, 0.9815258933918946, 1.0003123976841686, 0.9907146077749704]","[0.31679932290333307, 0.026554647200347108, 1.0003123976841686, 1.0218543421840687, 1.0100220865889675]","[0.334730060647952, 0.03368666965671425, 1.0218543421840687, 1.043190417248952, 1.0325532122180074]","[0.3446656584088241, 0.02858997338760356, 1.043190417248952, 1.065901776801757, 1.0543779040485746]","[0.3700247792628756, 0.03919231559144148, 1.065901776801757, 1.0976801756837693, 1.0821777820612553]","[0.39363205243861515, 0.043548629565137574, 1.0976801756837693, 1.1492440007985625, 1.119877727951756]","[0.45929424108021993, 0.05704164407057897, 1.1492440007985625, 1.5522531443401877, 1.2203342100081922]"
22.1000,"[0.2421968721848619, 0.030152083775719783, 0.7032431547867914, 0.8448529352452817, 0.7978734926460412]","[0.2872805157655712, 0.029185270211119992, 0.8448529352452817, 0.8919471523512127, 0.8700840403586214]","[0.3130563486771858, 0.03711306244607754, 0.8919471523512127, 0.9265267630531595, 0.9093681715072562]","[0.32918855456660046, 0.03199032579252457, 0.9265267630531595, 0.9529489901365293, 0.9396563333554119]","[0.34869895885259206, 0.03607295235640021, 0.9529489901365293, 0.9805962743217441, 0.9671938966466622]","[0.3581064464848723, 0.03613660497733953, 0.9805962743217441, 0.999863909166077, 0.9899492727585476]","[0.3776732510157851, 0.03569938137448679, 0.999863909166077, 1.0223075558605352, 1.0101987103256396]","[0.40048782468154026, 0.0413061932234985, 1.0223075558605352, 1.0451312825307209, 1.0338521873488178]","[0.41229453029680846, 0.035116775696323106, 1.0451312825307209, 1.0690870229802631, 1.0568222645419478]","[0.4446180423380281, 0.047884965678891285, 1.0690870229802631, 1.1023400675135127, 1.086154673043658]","[0.47551643508805236, 0.052614756232738806, 1.1023400675135127, 1.1574277043401076, 1.125806970436687]","[0.5571081215351786, 0.0684655540801687, 1.1574277043401076, 1.5876420577860528, 1.2322276963788927]"
21.0620,"[0.2740593752959436, 0.03684961653758074, 0.6927378492179068, 0.8385426011297034, 0.7896826909686303]","[0.3311974159237346, 0.03531012427320248, 0.8385426011297034, 0.8865885465553313, 0.8642643580556919]","[0.36474339779266624, 0.045730895648127934, 0.8865885465553313, 0.9230287905814913, 0.9051549208241034]","[0.38548839911885086, 0.03981467306596699, 0.9230287905814913, 0.9507321663512625, 0.9366258378024809]","[0.4111983050850649, 0.04639254120544144, 0.9507321663512625, 0.9793744053719625, 0.9654694477397654]","[0.42124312042603207, 0.04341765574035873, 0.9793744053719625, 0.9994841963744365, 0.989236802738671]","[0.44560959951711815, 0.04138124787617443, 0.9994841963744365, 1.0227808341847515, 1.0103751808692563]","[0.4754105268486619, 0.049844338596158985, 1.0227808341847515, 1.0469207953457051, 1.0351340981171417]","[0.4922490534914055, 0.044892233525921, 1.0469207953457051, 1.0722765736324253, 1.059182391217381]","[0.5289274159991462, 0.05644796025442407, 1.0722765736324253, 1.1071101336999425, 1.0900156760471273]","[0.5682749248441603, 0.06110220992184781, 1.1071101336999425, 1.1652819505477168, 1.131546835995558]","[0.6682531991251827, 0.07682655448769751, 1.1652819505477168, 1.6220494267206569, 1.2437257652275253]"
