,bin0,bin1,bin2,bin3,bin4,bin5
43.6190,"[0.062197741189938614, 0.003771082825898495, 0.8691243896699876, 0.9562041132156733, 0.923113522628321]","[0.06657950086604836, 0.0032572757338967797, 0.9562041132156733, 0.9843760467263012, 0.9717925214402565]","[0.06816797086704894, 0.0032952741048370266, 0.9843760467263012, 1.0044976244727493, 0.9948792595789627]","[0.06975688479634713, 0.003095092050495131, 1.0044976244727493, 1.020571108641397, 1.0119629990849415]","[0.0715978930254718, 0.003143046533156949, 1.020571108641397, 1.04545404097534, 1.0317561586671775]","[0.07523790015439798, 0.004340220889147716, 1.04545404097534, 1.2228951434454682, 1.0746033060721727]"
38.9190,"[0.07918300022139824, 0.0050327379309064, 0.8549917135338799, 0.9507859926304907, 0.9143993878043523]","[0.08543859350620481, 0.004191862404030595, 0.9507859926304907, 0.9820422905204041, 0.9682974506898209]","[0.08780933908983639, 0.004277732334947998, 0.9820422905204041, 1.0048860447223242, 0.9941297199752015]","[0.08999672782771401, 0.004060509749614311, 1.0048860447223242, 1.0229173726424932, 1.01321550161887]","[0.09278985116901428, 0.00423543114554446, 1.0229173726424932, 1.0511593866386204, 1.0354264235010733]","[0.09809690215548815, 0.005875041852014919, 1.0511593866386204, 1.2534381089291025, 1.0837758626691905]"
31.1370,"[0.12615999488335397, 0.009268623034949068, 0.8236653143416978, 0.9380156354423588, 0.8946247208961867]","[0.1392123681999558, 0.007277709573621121, 0.9380156354423588, 0.9765073925412664, 0.9600912042819023]","[0.14475980043088632, 0.0077375054271474, 0.9765073925412664, 1.0053775477858307, 0.9922504731889525]","[0.1494739064912425, 0.007510026938107289, 1.0053775477858307, 1.0277828125112283, 1.0159034820850659]","[0.15544485381077305, 0.007965718376739744, 1.0277828125112283, 1.0632891279300485, 1.043718293205246]","[0.1679053709869796, 0.012126005837260782, 1.0632891279300485, 1.3275533351272066, 1.1051334375057393]"
30.0000,"[0.1364787723202934, 0.010389433967057216, 0.8179617633102257, 0.9355809324849137, 0.8909477248994114]","[0.15139425001441706, 0.00814606869300772, 0.9355809324849137, 0.9757135594602077, 0.9585231758078328]","[0.15789262691381042, 0.008756837520604707, 0.9757135594602077, 1.00541913067307, 0.991876868976991]","[0.16334177177889747, 0.008529501616609737, 1.00541913067307, 1.0286520066153797, 1.0163794087516609]","[0.17034705719114152, 0.009160222239645919, 1.0286520066153797, 1.065785627430654, 1.045260105359549]","[0.18509388724886744, 0.014178586162799024, 1.065785627430654, 1.34208400107664, 1.109194287611877]"
27.9000,"[0.1596038704271443, 0.013207645301710952, 0.806458948484592, 0.9305655053249675, 0.8834571296061949]","[0.1792432096327904, 0.010261979796356766, 0.9305655053249675, 0.9738329226558246, 0.9552918704859364]","[0.18857797843356067, 0.011438981777456463, 0.9738329226558246, 1.005328720331012, 0.9911074001510174]","[0.19613591938188146, 0.011337345230625658, 1.005328720331012, 1.0308206151060122, 1.0173452804566154]","[0.2056297296826729, 0.012625315408641242, 1.0308206151060122, 1.0709714612400811, 1.048429058066282]","[0.22697283699245813, 0.02002312520622206, 1.0709714612400811, 1.372405824966744, 1.1175823673229521]"
26.1240,"[0.18517746514780087, 0.016946220429015207, 0.7955692746875308, 0.925668842284154, 0.8762627294624746]","[0.21116182369594813, 0.01335938570031613, 0.925668842284154, 0.9717536490472578, 0.9521227298097552]","[0.22408068444389256, 0.015164358086652615, 0.9717536490472578, 1.0052938552792512, 0.9903324906317167]","[0.23464026797768037, 0.015275453554965693, 1.0052938552792512, 1.032676022284975, 1.0182349589343145]","[0.24785215090070428, 0.017422353376662862, 1.032676022284975, 1.0754260196101009, 1.051455026523245]","[0.2783339652413298, 0.028190138237104923, 1.0754260196101009, 1.4023799512518171, 1.1257217112103732]"
24.5970,"[0.2141166099030077, 0.022055039050397438, 0.7852311485298127, 0.9208224917207689, 0.8693578042511378]","[0.2488130601190621, 0.017635568710811126, 0.9208224917207689, 0.9697278861047378, 0.9490417499045657]","[0.2670472872695814, 0.020804219880070016, 0.9697278861047378, 1.005209403820304, 0.9895657027986765]","[0.2805007278434003, 0.02061469645755237, 1.005209403820304, 1.03471519876303, 1.0190903193968364]","[0.2998445748439479, 0.024029717784798177, 1.03471519876303, 1.0801879282047695, 1.0543818049558755]","[0.3414811390033531, 0.038366075093188845, 1.0801879282047695, 1.4320181584933165, 1.13365732567222]"
23.2680,"[0.24710427542985197, 0.028339590476388767, 0.7753691355559992, 0.9162945897384708, 0.8627193042605955]","[0.2923753853177848, 0.022545851710380732, 0.9162945897384708, 0.9680047913755241, 0.9460541687258018]","[0.3171433643608634, 0.027307030104901975, 0.9680047913755241, 1.0052108604511878, 0.9888177457625454]","[0.3343063201877094, 0.025772529347271526, 1.0052108604511878, 1.0366092233978839, 1.0199083950528394]","[0.36217862933261374, 0.03057443995491678, 1.0366092233978839, 1.0849226592134158, 1.0572091481235415]","[0.41793926981122453, 0.05029861374625211, 1.0849226592134158, 1.4612840886404472, 1.1413826357356758]"
22.1000,"[0.2849266104334362, 0.03654405358791018, 0.7658939758162435, 0.9118695246700177, 0.8563072939636975]","[0.3448203201963995, 0.02850392204721182, 0.9118695246700177, 0.9661075521707486, 0.9431342321578832]","[0.3765577921940128, 0.03400364078769014, 0.9661075521707486, 1.005295562696065, 0.9880663058780091]","[0.39867149453255296, 0.031681046907340846, 1.005295562696065, 1.0382938362432732, 1.0206643465001988]","[0.4342149433351778, 0.0373144432514138, 1.0382938362432732, 1.0890693742992301, 1.0599067578778483]","[0.5051364649394244, 0.06251777619779565, 1.0890693742992301, 1.4903428618480767, 1.1488687377551194]"
21.0620,"[0.3281055651810676, 0.045820253163798695, 0.7568827471395945, 0.9080116916553566, 0.8501620833127658]","[0.4045994229814512, 0.03462937533514279, 0.9080116916553566, 0.9646321034834519, 0.9403232562066067]","[0.445032621594803, 0.041134328517887946, 0.9646321034834519, 1.0053486367590565, 0.9873660182740815]","[0.4727880912603499, 0.03946921587325371, 1.0053486367590565, 1.0399576461077475, 1.021409288697742]","[0.5172135878338601, 0.04524140563842727, 1.0399576461077475, 1.0930541853426137, 1.062527116138534]","[0.6046448468152736, 0.07315597909980909, 1.0930541853426137, 1.5185765193919636, 1.1561086630564938]"
20.1340,"[0.37669976108865405, 0.056387079506635594, 0.7482902466267201, 0.9042918473455093, 0.8442562890923154]","[0.47089700515868393, 0.04194635860012628, 0.9042918473455093, 0.9630408319134998, 0.9375895365197101]","[0.5194616142464737, 0.04814800768198872, 0.9630408319134998, 1.0056258489235341, 0.9866885618404319]","[0.5545344483162311, 0.0459202114638324, 1.0056258489235341, 1.0415336663156571, 1.0221172981596205]","[0.6074518186574186, 0.05171116004372983, 1.0415336663156571, 1.0969222761211144, 1.0650357329706388]","[0.707738608032261, 0.08299295145572902, 1.0969222761211144, 1.5460426399138654, 1.1630679130836548]"
19.2980,"[0.43021833129523257, 0.06734573042203489, 0.7400841669726536, 0.9004831594504532, 0.8385981754763778]","[0.5460763047772454, 0.054442409016901894, 0.9004831594504532, 0.9618461764273478, 0.9349654676669565]","[0.6020944383995753, 0.05454313090475882, 0.9618461764273478, 1.0057200156658879, 0.9860442010513157]","[0.642750858456846, 0.05480709456414131, 1.0057200156658879, 1.0430605657323335, 1.0228194878083918]","[0.7031830458500371, 0.05869076158736484, 1.0430605657323335, 1.100614316091983, 1.0674549676660834]","[0.8185802197943907, 0.09392934209630568, 1.100614316091983, 1.5725395118776064, 1.169767838674293]"
18.5400,"[0.4886670580294887, 0.07754342389305041, 0.7322218211930277, 0.8963653636204233, 0.8331702536954615]","[0.6231207900443525, 0.05294035943548279, 0.8963653636204233, 0.9605583254300718, 0.9324426292820313]","[0.6897438080418042, 0.05953719729960937, 0.9605583254300718, 1.0058908095627546, 0.9854343118375742]","[0.7333575095776248, 0.05553406741739974, 1.0058908095627546, 1.04450232170306, 1.0234776836222916]","[0.7970965090526873, 0.058449253517220065, 1.04450232170306, 1.1041620271001877, 1.0697646254556927]","[0.9189245369548442, 0.09694099631684192, 1.1041620271001877, 1.5978934128395044, 1.1761347861255846]"
17.8480,"[0.5528113403188079, 0.09191938591336996, 0.724721596289082, 0.8929063531795678, 0.8279742844559317]","[0.7060223163217216, 0.05915091835810996, 0.8929063531795678, 0.9593509127594189, 0.9300292891774432]","[0.78153398650958, 0.0650781950386057, 0.9593509127594189, 1.0061176447608036, 0.9848566599183177]","[0.8267867806118238, 0.06043148715925615, 1.0061176447608036, 1.0458892603749153, 1.0241231191981177]","[0.8993213551751257, 0.064569270174605, 1.0458892603749153, 1.1073766376241516, 1.0719855696488405]","[1.0289725226138788, 0.10262811704140533, 1.1073766376241516, 1.6221029667042708, 1.1822447442163406]"
17.2150,"[0.6181014051405327, 0.10099836230467397, 0.717637090594455, 0.8897753454444112, 0.8230192674900069]","[0.7890619974358424, 0.06253470031697089, 0.8897753454444112, 0.9582222224359035, 0.9277255543713807]","[0.8711658031092367, 0.06905873789289435, 0.9582222224359035, 1.006131983359468, 0.9843072857598985]","[0.9209685741257203, 0.06280954141175238, 1.006131983359468, 1.0473379499695865, 1.0247554921183295]","[0.9957112584839739, 0.06531124410360484, 1.0473379499695865, 1.1105208968617628, 1.0741087303515466]","[1.1298595535671172, 0.09995764708815921, 1.1105208968617628, 1.6448619668710234, 1.1880702215262626]"
16.6330,"[0.6866226137581585, 0.10913954090202198, 0.7109687364825751, 0.886813106238456, 0.8182938712262765]","[0.8758327116422299, 0.06650152134874143, 0.886813106238456, 0.9571792848552215, 0.9255217361717658]","[0.9594321198011586, 0.07148612113200326, 0.9571792848552215, 1.0061584104214292, 0.9837832176332417]","[1.0108223092788216, 0.06277414263944618, 1.0061584104214292, 1.0488137878054697, 1.0253729666431535]","[1.093898488905524, 0.06986826915394712, 1.0488137878054697, 1.1136524226434275, 1.076134490635497]","[1.232758194157251, 0.1037742261339589, 1.1136524226434275, 1.6658680288594214, 1.1935864473415678]"
16.0950,"[0.7544451166338403, 0.11782204194488857, 0.7046598706588012, 0.8839483775878743, 0.8137866000505015]","[0.9597802925318457, 0.06944687514869917, 0.8839483775878743, 0.9562092796409993, 0.9234129465003204]","[1.0492554049212859, 0.07344152463704483, 0.9562092796409993, 1.0062116132031904, 0.9832915103495719]","[1.1019420889849754, 0.06268957959568522, 1.0062116132031904, 1.0500396062939186, 1.0259712559946248]","[1.1815557183449166, 0.06879007006736533, 1.0500396062939186, 1.1165339990371745, 1.0780494090434325]","[1.3159232215079317, 0.10451498365283649, 1.1165339990371745, 1.6854313182039782, 1.1987731249787625]"
15.5960,"[0.8223277761430066, 0.1243661045462025, 0.6987014541753386, 0.8812473757029536, 0.8095011022211327]","[1.0380246204272279, 0.07274774790713355, 0.8812473757029536, 0.9553537831994947, 0.9213801863762294]","[1.1253883226253012, 0.07482422135407793, 0.9553537831994947, 1.0062020903624669, 0.9828169543967649]","[1.183434011169163, 0.06703414502192079, 1.0062020903624669, 1.0514200911555789, 1.0265604952474725]","[1.267463719096123, 0.0761092756396441, 1.0514200911555789, 1.1190791856064584, 1.0798998593326201]","[1.4108760452022453, 0.1127832020995389, 1.1190791856064584, 1.704389204441459, 1.2037887232804423]"
15.1320,"[0.8950469251986383, 0.13123828844448218, 0.6930208410650888, 0.878639546308047, 0.8053973095889256]","[1.1188566368326094, 0.07420653571250135, 0.878639546308047, 0.9545740682222293, 0.9194270246499002]","[1.2107163280844748, 0.0751135116525563, 0.9545740682222293, 1.0061314885596615, 0.9823726294914348]","[1.2692443795338568, 0.07040573813690905, 1.0061314885596615, 1.052327311771699, 1.0271405765387136]","[1.3558527666132911, 0.0794891035776619, 1.052327311771699, 1.1217865414144452, 1.0816969710258302]","[1.4998446831466439, 0.11149241402981738, 1.1217865414144452, 1.7220320395079303, 1.2085886564278276]"
14.6990,"[0.9694903939737527, 0.14086795468960128, 0.6875620340808064, 0.8756565933775357, 0.8014406473101433]","[1.2030933166378515, 0.07463253472671366, 0.8756565933775357, 0.9538061524243724, 0.9175296625309605]","[1.2965461358913688, 0.07962561598939184, 0.9538061524243724, 1.0061397642323429, 0.9819078096748018]","[1.3527227846465326, 0.07078899646242105, 1.0061397642323429, 1.0534103696397568, 1.0276899598141547]","[1.44716174682556, 0.08401780255417397, 1.0534103696397568, 1.1242004956024987, 1.0834032484830358]","[1.5932137059891622, 0.11358829637341693, 1.1242004956024987, 1.7391063249107068, 1.2131660799644481]"
14.2940,"[1.037671893482774, 0.14306253636302427, 0.6824556238223453, 0.872531936292708, 0.7976770758172602]","[1.2743856982449062, 0.07621099663859376, 0.872531936292708, 0.9531990743246617, 0.9157096947693905]","[1.3721996701877088, 0.07864390629085669, 0.9531990743246617, 1.0060399644299631, 0.9814686439126443]","[1.4250570434161145, 0.07253174603795245, 1.0060399644299631, 1.053995516608992, 1.0282290762027297]","[1.5135745159074039, 0.08125574012441088, 1.053995516608992, 1.125216578433331, 1.0849997399231757]","[1.6591564067021825, 0.10864886041218587, 1.125216578433331, 1.7539042775712081, 1.2173897259681576]"
13.9140,"[1.0984892980194814, 0.14617919890808911, 0.6775751444472682, 0.8702346429853208, 0.7940686010200354]","[1.3415893890086654, 0.07648335714709754, 0.8702346429853208, 0.952313791671255, 0.9139536429104294]","[1.4373728615410573, 0.07919675304100258, 0.952313791671255, 1.0057684844417638, 0.9810060317168127]","[1.4962969725223703, 0.09383568608874887, 1.0057684844417638, 1.0551266596616884, 1.0287349498367395]","[1.5909838711316162, 0.11871196968307607, 1.0551266596616884, 1.1267052335101768, 1.086573432655215]","[1.7472725567158351, 0.15451128124009297, 1.1267052335101768, 1.7695037261045936, 1.2215504986870938]"
13.5570,"[1.1717377031974636, 0.15538453646028286, 0.6728769382953412, 0.8680909502234125, 0.7905636060236375]","[1.4218204179060039, 0.0830855386200083, 0.8680909502234125, 0.9516945701112905, 0.9122408328829981]","[1.5222455890211655, 0.08268605531113961, 0.9516945701112905, 1.0059788277180348, 0.9806043973438782]","[1.5787118818292174, 0.07517197892810631, 1.0059788277180348, 1.0564372305177285, 1.0292547260609346]","[1.6713526065728441, 0.08769645675936441, 1.0564372305177285, 1.1289849403242886, 1.088121478099943]","[1.8104297293835117, 0.11172124730847918, 1.1289849403242886, 1.7828824755563615, 1.225492835818057]"
13.2210,"[1.2421025186159138, 0.16128615275462743, 0.6683467382202306, 0.8659579748281758, 0.7871753863842852]","[1.496542954301178, 0.08565328999634916, 0.8659579748281758, 0.9512871314878211, 0.910584554165704]","[1.594815173198984, 0.0838438652154025, 0.9512871314878211, 1.005528242816739, 0.9801593387954823]","[1.652863316656222, 0.08205552391365602, 1.005528242816739, 1.0573339388467315, 1.0297176697748234]","[1.7481704018984172, 0.10198701208899649, 1.0573339388467315, 1.1300723764494396, 1.0895828344564713]","[1.8940593314995207, 0.12345151884177898, 1.1300723764494396, 1.7980353729977199, 1.2294372574218984]"
12.9030,"[1.2963732186583845, 0.16007821430649707, 0.6640196166927321, 0.8640694875635282, 0.7839212894460803]","[1.5575436119700126, 0.08728669772588717, 0.8640694875635282, 0.9504732831411542, 0.908988495122687]","[1.660305705020348, 0.0889420196475418, 0.9504732831411542, 1.005391527180033, 0.9797540294275567]","[1.717170301317889, 0.08651745598133063, 1.005391527180033, 1.0578649957542368, 1.0301863457518325]","[1.8168624102448712, 0.10521398766580768, 1.0578649957542368, 1.1318616865503448, 1.0909909186885853]","[1.960428403853224, 0.12873078126448745, 1.1318616865503448, 1.8088953132409409, 1.233129826089123]"
12.6030,"[1.3487877120990721, 0.15723621107684574, 0.6595961906990025, 0.8620457888753509, 0.7807995384127765]","[1.6098234910308782, 0.08657489356271444, 0.8620457888753509, 0.9496928715027712, 0.90744099634171]","[1.7166925208566723, 0.09380740377634338, 0.9496928715027712, 1.0053260290275052, 0.979351501057188]","[1.7744862495751523, 0.08871881384513865, 1.0053260290275052, 1.0589433102051067, 1.0306417336833364]","[1.8675848739617302, 0.09790440315775072, 1.0589433102051067, 1.134515204224518, 1.0923203534982096]","[2.023406552346425, 0.1377801809803476, 1.134515204224518, 1.8233366869835284, 1.2368649927250204]"
