,a,b,c
43.619,-0.035216,0.088709,0.030131
38.919,-0.011315,0.11458,0.038857
31.137,0.13251,0.2032,0.064289
30.000,0.19768,0.22856,0.070201
27.900,0.34875,0.29472,0.084078
26.124,0.58653,0.38368,0.10033
24.597,0.78034,0.49639,0.1199
23.268,0.97686,0.62899,0.1431
22.100,1.0647,0.77196,0.17036
21.062,1.079,0.92241,0.20177
20.134,0.88695,1.0544,0.23622
19.298,0.78201,1.1892,0.27367
18.540,0.35449,1.263,0.31174
17.848,-0.092035,1.339,0.35321
17.215,-0.40591,1.3957,0.39239
16.633,-0.55557,1.4473,0.43228
16.095,-1.0224,1.4418,0.4701
15.596,-0.86842,1.4793,0.50586
15.132,-1.0917,1.4904,0.54298
14.699,-1.2276,1.5004,0.58142
14.294,-1.3978,1.4533,0.6123
13.914,-0.96077,1.4997,0.64267
13.557,-1.5569,1.4389,0.6777
13.221,-1.4373,1.4346,0.71096
12.903,-1.6206,1.4323,0.7402
12.603,-1.2797,1.4486,0.76373
12.318,-0.86348,1.4397,0.78545
12.048,-0.97388,1.4247,0.8169
11.791,-1.2375,1.4088,0.84119
11.546,-0.84382,1.4485,0.86568
11.313,-0.87118,1.4171,0.88938
11.090,-0.73635,1.422,0.90839
10.877,-0.59597,1.3746,0.92304
10.673,-0.7326,1.4471,0.95816
10.478,-0.26019,1.4755,0.97188
10.290,0.092706,1.4943,0.99608
10.110,-0.45924,1.4149,1.0152
9.938,0.21829,1.4709,1.0321
9.771,0.098592,1.4691,1.0441
9.611,-0.038901,1.469,1.0738
9.457,-0.2919,1.4174,1.0877
9.308,-0.45384,1.4391,1.107
9.164,-0.34105,1.4135,1.1278
9.026,-0.11761,1.4894,1.1407
8.892,-0.64826,1.4136,1.1668
8.762,-0.11902,1.5197,1.1737
8.636,0.085698,1.4954,1.1942
8.515,0.033316,1.5303,1.2127
8.397,-0.03149,1.4753,1.2207
8.283,-0.059578,1.4965,1.2417
8.172,0.10769,1.5518,1.2557
8.064,-0.31217,1.4648,1.2739
7.960,0.43778,1.5073,1.2834
7.859,-0.32943,1.49,1.3043
7.760,0.045673,1.4787,1.3093
7.664,0.4238,1.5278,1.3295
7.570,-0.31003,1.4544,1.3426
7.480,0.38955,1.5376,1.3508
7.391,-0.44217,1.4876,1.3745
7.305,0.0068556,1.5341,1.3836
7.221,0.21625,1.4971,1.3921
7.139,0.23586,1.4981,1.404
7.059,0.25499,1.4991,1.4157
6.981,0.27365,1.5,1.4271
6.905,0.29183,1.5009,1.4384
6.830,0.30976,1.5018,1.4495
6.757,0.32722,1.5027,1.4604
6.686,0.3442,1.5036,1.4711
6.617,0.36071,1.5044,1.4815
6.549,0.37697,1.5052,1.4918
6.483,0.39276,1.506,1.5018
6.418,0.4083,1.5068,1.5118
6.354,0.42361,1.5076,1.5216
6.292,0.43844,1.5083,1.5312
6.231,0.45303,1.5091,1.5406
6.172,0.46714,1.5098,1.5498
6.113,0.48125,1.5105,1.559
6.056,0.49488,1.5112,1.568
6.000,0.50827,1.5118,1.5768
5.945,0.52143,1.5125,1.5855
